Title,Year,Rating,Type
1. Freedom at Midnight,2024–,8.3,TV Series
2. Lion,2016,8.0,N/A
3. Extraction,2020,6.8,N/A
4. Special OPS,2020–,8.6,TV Series
5. Bhool Bhulaiyaa,2007,7.5,N/A
6. Pather Panchali,1955,8.2,N/A
7. Mittran Da Challeya Truck Ni,2024,8.4,N/A
8. Mandaar,2021–,7.5,TV Series
9. Toofan,2024,7.2,N/A
10. A Night of Knowing Nothing,2021,7.2,N/A
11. Chengiz,2023,7.7,N/A
12. The Namesake,2006,7.5,N/A
13. Whores' Glory,2011,7.2,N/A
14. MR-9: Do or Die,2023,3.6,N/A
15. Dard,2024,7.3,N/A
16. Gandu,2010,5.4,N/A
17. Gunday,2014,2.7,N/A
18. A Death in the Gunj,2016,7.4,N/A
19. Friday,2023,6.4,N/A
20. Bohurupi,2024,8.4,N/A
21. Srikanto,2022–,6.7,TV Series
22. The Big City,1963,8.3,N/A
23. The World of Apu,1959,8.4,N/A
24. Talmar Romeo Juliet,2024–,6.6,TV Series
25. The Hero,1966,8.3,N/A
26. Kajolrekha,2024,6.5,N/A
27. Rajkumar,2024,7.3,N/A
28. Omar,2024,6.2,N/A
29. Cosmic Sex,2015,3.9,N/A
30. Herogiri,2015,4.5,N/A
31. The River,1951,7.4,N/A
32. Midnight's Children,2012,6.2,N/A
33. Aparajito,1956,8.2,N/A
34. Bojhena Se Bojhena,2013–,5.6,TV Series
35. Gobhir Joler Maach,2023–2024,4.3,TV Series
36. Adhunik Bangla Hotel,2024–,7.0,TV Series
37. 36-24-36,2024,6.6,N/A
38. Myself Allen Swapan,2023–,7.6,TV Series
39. Hello!,2017–,6.2,TV Series
40. Saat Pake Bandha,2009,6.2,N/A
41. Indubala Bhaater Hotel,2023–,8.2,TV Series
42. Khadaan,2024,N/A,N/A
43. Ghya Chang Fou,2017,7.2,N/A
44. Hawa,2022,7.7,N/A
45. My Melbourne,2024,N/A,N/A
46. Manush: Child of Destiny,2023,7.5,N/A
47. Parnashavarir Shaap,2023–,6.4,TV Series
48. Sultana's Dream,2023,6.2,N/A
49. Autograph,2010,7.4,N/A
50. 69,2008–2009,8.9,TV Series
1. Freedom at Midnight,2024–,8.3,TV Series
2. Lion,2016,8.0,N/A
3. Extraction,2020,6.8,N/A
4. Special OPS,2020–,8.6,TV Series
5. Bhool Bhulaiyaa,2007,7.5,N/A
6. Pather Panchali,1955,8.2,N/A
7. Mittran Da Challeya Truck Ni,2024,8.4,N/A
8. Mandaar,2021–,7.5,TV Series
9. Toofan,2024,7.2,N/A
10. A Night of Knowing Nothing,2021,7.2,N/A
11. Chengiz,2023,7.7,N/A
12. The Namesake,2006,7.5,N/A
13. Whores' Glory,2011,7.2,N/A
14. MR-9: Do or Die,2023,3.6,N/A
15. Dard,2024,7.3,N/A
16. Gandu,2010,5.4,N/A
17. Gunday,2014,2.7,N/A
18. A Death in the Gunj,2016,7.4,N/A
19. Friday,2023,6.4,N/A
20. Bohurupi,2024,8.4,N/A
21. Srikanto,2022–,6.7,TV Series
22. The Big City,1963,8.3,N/A
23. The World of Apu,1959,8.4,N/A
24. Talmar Romeo Juliet,2024–,6.6,TV Series
25. The Hero,1966,8.3,N/A
26. Kajolrekha,2024,6.5,N/A
27. Rajkumar,2024,7.3,N/A
28. Omar,2024,6.2,N/A
29. Cosmic Sex,2015,3.9,N/A
30. Herogiri,2015,4.5,N/A
31. The River,1951,7.4,N/A
32. Midnight's Children,2012,6.2,N/A
33. Aparajito,1956,8.2,N/A
34. Bojhena Se Bojhena,2013–,5.6,TV Series
35. Gobhir Joler Maach,2023–2024,4.3,TV Series
36. Adhunik Bangla Hotel,2024–,7.0,TV Series
37. 36-24-36,2024,6.6,N/A
38. Myself Allen Swapan,2023–,7.6,TV Series
39. Hello!,2017–,6.2,TV Series
40. Saat Pake Bandha,2009,6.2,N/A
41. Indubala Bhaater Hotel,2023–,8.2,TV Series
42. Khadaan,2024,N/A,N/A
43. Ghya Chang Fou,2017,7.2,N/A
44. Hawa,2022,7.7,N/A
45. My Melbourne,2024,N/A,N/A
46. Manush: Child of Destiny,2023,7.5,N/A
47. Parnashavarir Shaap,2023–,6.4,TV Series
48. Sultana's Dream,2023,6.2,N/A
49. Autograph,2010,7.4,N/A
50. 69,2008–2009,8.9,TV Series
1. Freedom at Midnight,2024–,8.3,TV Series
2. Lion,2016,8.0,N/A
3. Extraction,2020,6.8,N/A
4. Special OPS,2020–,8.6,TV Series
5. Bhool Bhulaiyaa,2007,7.5,N/A
6. Pather Panchali,1955,8.2,N/A
7. Mittran Da Challeya Truck Ni,2024,8.4,N/A
8. Mandaar,2021–,7.5,TV Series
9. Toofan,2024,7.2,N/A
10. A Night of Knowing Nothing,2021,7.2,N/A
11. Chengiz,2023,7.7,N/A
12. The Namesake,2006,7.5,N/A
13. Whores' Glory,2011,7.2,N/A
14. MR-9: Do or Die,2023,3.6,N/A
15. Dard,2024,7.3,N/A
16. Gandu,2010,5.4,N/A
17. Gunday,2014,2.7,N/A
18. A Death in the Gunj,2016,7.4,N/A
19. Friday,2023,6.4,N/A
20. Bohurupi,2024,8.4,N/A
21. Srikanto,2022–,6.7,TV Series
22. The Big City,1963,8.3,N/A
23. The World of Apu,1959,8.4,N/A
24. Talmar Romeo Juliet,2024–,6.6,TV Series
25. The Hero,1966,8.3,N/A
26. Kajolrekha,2024,6.5,N/A
27. Rajkumar,2024,7.3,N/A
28. Omar,2024,6.2,N/A
29. Cosmic Sex,2015,3.9,N/A
30. Herogiri,2015,4.5,N/A
31. The River,1951,7.4,N/A
32. Midnight's Children,2012,6.2,N/A
33. Aparajito,1956,8.2,N/A
34. Bojhena Se Bojhena,2013–,5.6,TV Series
35. Gobhir Joler Maach,2023–2024,4.3,TV Series
36. Adhunik Bangla Hotel,2024–,7.0,TV Series
37. 36-24-36,2024,6.6,N/A
38. Myself Allen Swapan,2023–,7.6,TV Series
39. Hello!,2017–,6.2,TV Series
40. Saat Pake Bandha,2009,6.2,N/A
41. Indubala Bhaater Hotel,2023–,8.2,TV Series
42. Khadaan,2024,N/A,N/A
43. Ghya Chang Fou,2017,7.2,N/A
44. Hawa,2022,7.7,N/A
45. My Melbourne,2024,N/A,N/A
46. Manush: Child of Destiny,2023,7.5,N/A
47. Parnashavarir Shaap,2023–,6.4,TV Series
48. Sultana's Dream,2023,6.2,N/A
49. Autograph,2010,7.4,N/A
50. 69,2008–2009,8.9,TV Series
1. Freedom at Midnight,2024–,8.3,TV Series
2. Lion,2016,8.0,N/A
3. Extraction,2020,6.8,N/A
4. Special OPS,2020–,8.6,TV Series
5. Bhool Bhulaiyaa,2007,7.5,N/A
6. Pather Panchali,1955,8.2,N/A
7. Mittran Da Challeya Truck Ni,2024,8.4,N/A
8. Mandaar,2021–,7.5,TV Series
9. Toofan,2024,7.2,N/A
10. A Night of Knowing Nothing,2021,7.2,N/A
11. Chengiz,2023,7.7,N/A
12. The Namesake,2006,7.5,N/A
13. Whores' Glory,2011,7.2,N/A
14. MR-9: Do or Die,2023,3.6,N/A
15. Dard,2024,7.3,N/A
16. Gandu,2010,5.4,N/A
17. Gunday,2014,2.7,N/A
18. A Death in the Gunj,2016,7.4,N/A
19. Friday,2023,6.4,N/A
20. Bohurupi,2024,8.4,N/A
21. Srikanto,2022–,6.7,TV Series
22. The Big City,1963,8.3,N/A
23. The World of Apu,1959,8.4,N/A
24. Talmar Romeo Juliet,2024–,6.6,TV Series
25. The Hero,1966,8.3,N/A
26. Kajolrekha,2024,6.5,N/A
27. Rajkumar,2024,7.3,N/A
28. Omar,2024,6.2,N/A
29. Cosmic Sex,2015,3.9,N/A
30. Herogiri,2015,4.5,N/A
31. The River,1951,7.4,N/A
32. Midnight's Children,2012,6.2,N/A
33. Aparajito,1956,8.2,N/A
34. Bojhena Se Bojhena,2013–,5.6,TV Series
35. Gobhir Joler Maach,2023–2024,4.3,TV Series
36. Adhunik Bangla Hotel,2024–,7.0,TV Series
37. 36-24-36,2024,6.6,N/A
38. Myself Allen Swapan,2023–,7.6,TV Series
39. Hello!,2017–,6.2,TV Series
40. Saat Pake Bandha,2009,6.2,N/A
41. Indubala Bhaater Hotel,2023–,8.2,TV Series
42. Khadaan,2024,N/A,N/A
43. Ghya Chang Fou,2017,7.2,N/A
44. Hawa,2022,7.7,N/A
45. My Melbourne,2024,N/A,N/A
46. Manush: Child of Destiny,2023,7.5,N/A
47. Parnashavarir Shaap,2023–,6.4,TV Series
48. Sultana's Dream,2023,6.2,N/A
49. Autograph,2010,7.4,N/A
50. 69,2008–2009,8.9,TV Series
